,,Accuracy,Precision,Time
RF,RGB,0.2987,0.29888,2.71
RF,Gray scale,0.28334,0.2828,2.77
RF,CIELAB,0.3098,0.31074,2.846
RF,YCbCr,0.30766,0.30741999999999997,2.7399999999999998
ResNet,RGB,0.4257,0.42104,4722.258
ResNet,Gray scale,0.35998,0.34408,4291.6720000000005
ResNet,CIELAB,0.41487999999999997,0.39206,5606.698
ResNet,YCbCr,0.42206,0.41584,5871.55
Mobilenet,RGB,0.7195,0.71882,2775.714
Mobilenet,Gray scale,0.69772,0.69762,3190.044
Mobilenet,CIELAB,0.7173,0.72054,3230.632
Mobilenet,YCbCr,0.7227,0.7230800000000001,3631.262
Effcientnet,RGB,0.76714,0.77104,2308.6059999999998
Effcientnet,Gray scale,0.75626,0.75562,2055.196
Effcientnet,CIELAB,0.7777999999999999,0.7811,2966.7400000000002
Effcientnet,YCbCr,0.78244,0.78462,3045.8940000000002
